scheme,scheme_label,stratum,stratum_order,rule,klg_values,n_patients,n_events,cleared_event_floor,note
kl3,"Kellgren-Lawrence grade, three strata",KL 0-1,1,klg_contra < 1.5,0 0.5 1,144,3,False,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; bin edges [1.5, 2.5], tied averaged reads to the higher stratum"
kl3,"Kellgren-Lawrence grade, three strata",KL 2,2,1.5 <= klg_contra < 2.5,1.5 2,266,30,False,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; bin edges [1.5, 2.5], tied averaged reads to the higher stratum"
kl3,"Kellgren-Lawrence grade, three strata",KL 3-4,3,klg_contra >= 2.5,2.5 3 3.5 4,297,65,True,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; bin edges [1.5, 2.5], tied averaged reads to the higher stratum"
kl2,"Kellgren-Lawrence grade, advanced versus not",KL 0-2,1,klg_contra < 2.5,0 0.5 1 1.5 2,410,33,False,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; bin edges [2.5], tied averaged reads to the higher stratum"
kl2,"Kellgren-Lawrence grade, advanced versus not",KL 3-4,2,klg_contra >= 2.5,2.5 3 3.5 4,297,65,True,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; bin edges [2.5], tied averaged reads to the higher stratum"
kl3_tielow,"Kellgren-Lawrence grade, three strata, tied reads to the lower stratum",KL 0-1,1,klg_contra <= 1.5,0 0.5 1 1.5,146,3,False,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; bin edges [1.5, 2.5], tied averaged reads to the lower stratum"
kl3_tielow,"Kellgren-Lawrence grade, three strata, tied reads to the lower stratum",KL 2,2,1.5 < klg_contra <= 2.5,2 2.5,278,33,False,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; bin edges [1.5, 2.5], tied averaged reads to the lower stratum"
kl3_tielow,"Kellgren-Lawrence grade, three strata, tied reads to the lower stratum",KL 3-4,3,klg_contra > 2.5,3 3.5 4,283,62,True,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; bin edges [1.5, 2.5], tied averaged reads to the lower stratum"
