arm,view,n_patients_with_view,n_slots_mean,attention_share_mean,attention_share_sd,attention_share_median,attention_per_slot_mean,n_patients_with_2plus_distinct_views,attention_share_mean_2plus_distinct_views,note
m3_image,frontal,734,1.1689373297002725,0.7236702988862093,0.32970240854744337,1.0,0.6641790093018631,315,0.35610793522637874,"n_patients_with_2plus_distinct_views counts patients holding THIS view and at least two distinct views; it is not a count of patients with >1 crop (a patient with two frontals and nothing else is excluded) and it is not the view-availability subgroup of outputs/tables/test_subgroups.csv, which is labelled from the selected study's view_set before preprocessing."
m3_image,lateral,317,1.0126182965299684,0.6119116688307121,0.14119695286129302,0.6194957137107849,0.6068371542739536,315,0.6094476159343991,"n_patients_with_2plus_distinct_views counts patients holding THIS view and at least two distinct views; it is not a count of patients with >1 crop (a patient with two frontals and nothing else is excluded) and it is not the view-availability subgroup of outputs/tables/test_subgroups.csv, which is labelled from the selected study's view_set before preprocessing."
m3_image,sunrise,37,1.0,0.4013513752912527,0.23999248734847606,0.31008425951004026,0.4013513752912527,34,0.3485294378169515,"n_patients_with_2plus_distinct_views counts patients holding THIS view and at least two distinct views; it is not a count of patients with >1 crop (a patient with two frontals and nothing else is excluded) and it is not the view-availability subgroup of outputs/tables/test_subgroups.csv, which is labelled from the selected study's view_set before preprocessing."
m4_fusion,frontal,734,1.1689373297002725,0.6853911029212364,0.3749394516342317,1.0,0.6299590935271752,315,0.26691133214826257,"n_patients_with_2plus_distinct_views counts patients holding THIS view and at least two distinct views; it is not a count of patients with >1 crop (a patient with two frontals and nothing else is excluded) and it is not the view-availability subgroup of outputs/tables/test_subgroups.csv, which is labelled from the selected study's view_set before preprocessing."
m4_fusion,lateral,317,1.0126182965299684,0.6969395955022695,0.16529485320845613,0.7317822575569153,0.6913950242310739,315,0.6950154024199953,"n_patients_with_2plus_distinct_views counts patients holding THIS view and at least two distinct views; it is not a count of patients with >1 crop (a patient with two frontals and nothing else is excluded) and it is not the view-availability subgroup of outputs/tables/test_subgroups.csv, which is labelled from the selected study's view_set before preprocessing."
m4_fusion,sunrise,37,1.0,0.4322453637994398,0.2492666324451456,0.38180271685123446,0.4322453637994398,34,0.38214936648762565,"n_patients_with_2plus_distinct_views counts patients holding THIS view and at least two distinct views; it is not a count of patients with >1 crop (a patient with two frontals and nothing else is excluded) and it is not the view-availability subgroup of outputs/tables/test_subgroups.csv, which is labelled from the selected study's view_set before preprocessing."
