metric,value
n_patients_sampled,200
min_patients_required,200
n_side_source_recovered,133
n_side_source_coded,67
pct_recovered,66.5
splits_sampled,train+val
n_with_frontal_crop,198
mean_n_concordant_signals,1.7
contra_side_L,98
contra_side_R,102
note,patient-level adjudication file is git-ignored at derived-data/cohort/laterality_audit_sample.csv
