split,n,n_events,risk_p0,risk_p10,risk_p25,risk_p50,risk_p75,risk_p90,risk_p100,median_followup_days,pct_klg_missing,pct_pain_score_missing
train,2597,373,0.02715924882216214,0.07390768377894434,0.09786622030567149,0.1308265189887572,0.1661507667074663,0.20220519811943352,0.3643963706762837,1033.0,3.74,6.62
val,371,54,0.02721066679801587,0.0692109762790567,0.10058020435910647,0.13737340012147758,0.17516446271270458,0.2158905275436398,0.40190289969463533,1065.0,3.23,9.7
