model,scope,subgroup,metric,horizon_years,horizon_days,n,n_events,estimate,ci_lo,ci_hi,suppressed,note
sens_complete_case,overall,,calibration_in_the_large_risk_diff,2.0,730.0,325.0,49.0,0.01954057498238962,,,False,
sens_complete_case,overall,,ipcw_cd_auroc,5.0,1825.0,325.0,49.0,0.6583172072029009,,,False,
sens_complete_case,overall,,calibration_slope,5.0,1825.0,325.0,49.0,1.4016282635923774,,,False,
sens_complete_case,overall,,calibration_in_the_large_risk_diff,5.0,1825.0,325.0,49.0,-0.005728955865608815,,,False,
sens_drop_pain_predictors,overall,,harrell_cindex,,,371.0,54.0,0.5718554551772064,,,False,"no-pain-predictor set: knee_pain_any, pain_score_max and its indicator removed (also removes the exact collinearity)"
sens_drop_pain_predictors,overall,,ipcw_cd_auroc,1.0,365.0,371.0,54.0,0.6142556858548852,,,False,
sens_drop_pain_predictors,overall,,calibration_slope,1.0,365.0,371.0,54.0,1.0766687321434183,,,False,
sens_drop_pain_predictors,overall,,calibration_in_the_large_risk_diff,1.0,365.0,371.0,54.0,0.003224257434153735,,,False,
sens_drop_pain_predictors,overall,,ipcw_cd_auroc,2.0,730.0,371.0,54.0,0.5686819931346901,,,False,
sens_drop_pain_predictors,overall,,calibration_slope,2.0,730.0,371.0,54.0,0.6736584933810935,,,False,
sens_drop_pain_predictors,overall,,calibration_in_the_large_risk_diff,2.0,730.0,371.0,54.0,0.011620981165285676,,,False,
sens_drop_pain_predictors,overall,,ipcw_cd_auroc,5.0,1825.0,371.0,54.0,0.6318248515112567,,,False,
sens_drop_pain_predictors,overall,,calibration_slope,5.0,1825.0,371.0,54.0,1.3177537877813104,,,False,
sens_drop_pain_predictors,overall,,calibration_in_the_large_risk_diff,5.0,1825.0,371.0,54.0,-0.010175736738512936,,,False,
sens_race_included,overall,,harrell_cindex,,,371.0,54.0,0.5956914523974982,,,False,"race added to the predictor set (the primary excludes it, protocol section 21); White is the reference level"
sens_race_included,overall,,ipcw_cd_auroc,1.0,365.0,371.0,54.0,0.6202830077363567,,,False,
sens_race_included,overall,,calibration_slope,1.0,365.0,371.0,54.0,0.9592542510504447,,,False,
sens_race_included,overall,,calibration_in_the_large_risk_diff,1.0,365.0,371.0,54.0,0.003224845549834321,,,False,
sens_race_included,overall,,ipcw_cd_auroc,2.0,730.0,371.0,54.0,0.6097481701136453,,,False,
sens_race_included,overall,,calibration_slope,2.0,730.0,371.0,54.0,0.7552803846872336,,,False,
sens_race_included,overall,,calibration_in_the_large_risk_diff,2.0,730.0,371.0,54.0,0.011296025112298214,,,False,
sens_race_included,overall,,ipcw_cd_auroc,5.0,1825.0,371.0,54.0,0.7092701328300636,,,False,
sens_race_included,overall,,calibration_slope,5.0,1825.0,371.0,54.0,1.377971822448386,,,False,
sens_race_included,overall,,calibration_in_the_large_risk_diff,5.0,1825.0,371.0,54.0,-0.011710857505325384,,,False,
sens_landmark_30_90_180,overall,,not_run,,,,,,,,True,"DEFERRED — not run. The locked cohort is built at landmark day 90. Moving it to [30, 90, 180] changes ELIGIBILITY (who is event-free and still observed at the landmark), the time origin of `time_from_landmark`, the censoring distribution and therefore the event counts and the locked splits. Producing it requires re-running the Phase-1 follow-up/outcome pipeline (`src/followup.py`, `src/outcomes.py`, `src/assemble_cohort.py`) at each landmark and rebuilding `final_cohort.parquet`, `patient_splits.parquet` and `features_clinical.parquet` — i.e. overwriting locked files. This module refuses to touch them. To run it: add landmark-parameterised output paths so the alternative cohorts are written to a separate directory, re-derive splits per landmark with the same seed, then re-run M0 on each."
