arm,seed,epoch,train_nll,val_nll,lr,secs,improved
m0d_clinical,20250720,0,0.6086631836918737,0.6323999711258027,0.0005060975609756,7.87,True
m0d_clinical,20250720,1,0.6045415373666209,0.6287565700744494,0.001,7.89,True
m0d_clinical,20250720,2,0.5954587183935793,0.6286231342964932,0.0009982922465033,7.82,True
m0d_clinical,20250720,3,0.5874121546458188,0.6294679298856141,0.0009931806517013,7.96,False
m0d_clinical,20250720,4,0.5802420715376132,0.6328074900804546,0.0009847001329696,7.98,False
m0d_clinical,20250720,5,0.5766508199116628,0.6356825752412582,0.0009729086208503,8.01,False
m0d_clinical,20250720,6,0.572428947974262,0.6390928232731148,0.0009578866633275,7.89,False
m0d_clinical,20250720,7,0.5695061923451507,0.638636899128329,0.0009397368756032,7.84,False
m0d_clinical,20250720,8,0.5668621507424839,0.6424012766340551,0.0009185832391312,7.93,False
m0d_clinical,20250720,9,0.5627673147759455,0.644771262009023,0.0008945702546981,7.99,False
m0d_clinical,20250720,10,0.5585247032904211,0.645932145579868,0.0008678619553365,7.95,False
m0d_clinical,20250721,0,0.6090175052369031,0.63401126934992,0.0005060975609756,8.05,True
m0d_clinical,20250721,1,0.6036698539793377,0.6296316025752726,0.001,8.05,True
m0d_clinical,20250721,2,0.5954348698287111,0.6289354367987557,0.0009982922465033,7.94,True
m0d_clinical,20250721,3,0.5862282002879475,0.631631859545538,0.0009931806517013,8.02,False
m0d_clinical,20250721,4,0.580436312348397,0.6317553976187648,0.0009847001329696,7.94,False
m0d_clinical,20250721,5,0.5773066415004647,0.635944460023102,0.0009729086208503,7.88,False
m0d_clinical,20250721,6,0.571326646915061,0.6375494602383505,0.0009578866633275,7.92,False
m0d_clinical,20250721,7,0.567591713664619,0.6416051595467192,0.0009397368756032,8.01,False
m0d_clinical,20250721,8,0.5641894849020851,0.6465449722894004,0.0009185832391312,7.98,False
m0d_clinical,20250721,9,0.559392780720154,0.6471293184549114,0.0008945702546981,8.0,False
m0d_clinical,20250721,10,0.5578078889605627,0.6500887452113712,0.0008678619553365,8.03,False
m0d_clinical,20250722,0,0.6085573760760313,0.6324047035123822,0.0005060975609756,7.92,True
m0d_clinical,20250722,1,0.6037468954260409,0.6284075223666097,0.001,7.87,True
m0d_clinical,20250722,2,0.5939728972769427,0.6280637194981494,0.0009982922465033,7.84,True
m0d_clinical,20250722,3,0.5853164959964495,0.6296465567315661,0.0009931806517013,7.94,False
m0d_clinical,20250722,4,0.5811172203291818,0.6327604644607289,0.0009847001329696,7.88,False
m0d_clinical,20250722,5,0.5752915081950282,0.6329033422693774,0.0009729086208503,7.95,False
m0d_clinical,20250722,6,0.571921283982852,0.6374143377576538,0.0009578866633275,7.98,False
m0d_clinical,20250722,7,0.5677774388005739,0.6413564557496283,0.0009397368756032,7.99,False
m0d_clinical,20250722,8,0.5641002985324014,0.6430626455789903,0.0009185832391312,7.95,False
m0d_clinical,20250722,9,0.5624167496069318,0.6453977115066837,0.0008945702546981,7.91,False
m0d_clinical,20250722,10,0.5577091124705497,0.6474321327414859,0.0008678619553365,8.03,False
m0d_clinical,20250723,0,0.6086118544227586,0.633318814975444,0.0005060975609756,7.97,True
m0d_clinical,20250723,1,0.6036076214042473,0.6301023562700392,0.001,7.95,True
m0d_clinical,20250723,2,0.5943737846348787,0.6293944714255825,0.0009982922465033,8.02,True
m0d_clinical,20250723,3,0.5866126077971018,0.629170722843447,0.0009931806517013,7.83,True
m0d_clinical,20250723,4,0.5807661786015094,0.6300273321882709,0.0009847001329696,8.08,False
m0d_clinical,20250723,5,0.5754251633047598,0.633917836400542,0.0009729086208503,7.95,False
m0d_clinical,20250723,6,0.5708657988686265,0.6392820157275533,0.0009578866633275,7.93,False
m0d_clinical,20250723,7,0.567004094394875,0.6408195810906411,0.0009397368756032,7.91,False
m0d_clinical,20250723,8,0.5664747109991967,0.6430223190016265,0.0009185832391312,7.95,False
m0d_clinical,20250723,9,0.560708286491203,0.6469300945419096,0.0008945702546981,7.98,False
m0d_clinical,20250723,10,0.5590245154551688,0.649919596397441,0.0008678619553365,7.89,False
m0d_clinical,20250723,11,0.555347758543055,0.6532229762865164,0.0008386407858128,7.96,False
m0d_clinical,20250724,0,0.6084378314156064,0.6326558073174061,0.0005060975609756,7.96,True
m0d_clinical,20250724,1,0.6032527609367591,0.6301076821331728,0.001,7.99,True
m0d_clinical,20250724,2,0.5934698823387223,0.6300535563549187,0.0009982922465033,8.04,True
m0d_clinical,20250724,3,0.5852335271061271,0.6337004647872982,0.0009931806517013,7.93,False
m0d_clinical,20250724,4,0.5801141796314188,0.6372632928730404,0.0009847001329696,7.95,False
m0d_clinical,20250724,5,0.5745340325297188,0.6413771837212608,0.0009729086208503,7.98,False
m0d_clinical,20250724,6,0.5703537949276568,0.6437334110136358,0.0009578866633275,7.96,False
m0d_clinical,20250724,7,0.5654457802028325,0.6461141893345228,0.0009397368756032,7.94,False
m0d_clinical,20250724,8,0.5633126211017083,0.6498858158785467,0.0009185832391312,7.96,False
m0d_clinical,20250724,9,0.560440470809422,0.651986549717735,0.0008945702546981,7.92,False
m0d_clinical,20250724,10,0.5577732731611513,0.6538665491346697,0.0008678619553365,7.99,False
m1_klg,20250720,0,0.6004164464193119,0.6318716526971953,0.000506329113924,7.62,True
m1_klg,20250720,1,0.5881294258314672,0.6236255362039783,0.001,7.61,True
m1_klg,20250720,2,0.5686361984408694,0.6196279681962773,0.0009982922465033,7.55,True
m1_klg,20250720,3,0.5542469836407609,0.6214980207612625,0.0009931806517013,7.63,False
m1_klg,20250720,4,0.5444463773953427,0.6276326301730089,0.0009847001329696,7.54,False
m1_klg,20250720,5,0.5389681602116104,0.6342846021001943,0.0009729086208503,7.48,False
m1_klg,20250720,6,0.5348649231121958,0.6371119914155456,0.0009578866633275,7.63,False
m1_klg,20250720,7,0.5300745409521892,0.6412408592436512,0.0009397368756032,7.74,False
m1_klg,20250720,8,0.5286737033326308,0.6477851229528159,0.0009185832391312,7.65,False
m1_klg,20250720,9,0.5219771510796894,0.6474845747716077,0.0008945702546981,7.53,False
m1_klg,20250720,10,0.5164021266947946,0.6534545107665192,0.0008678619553365,7.57,False
m1_klg,20250721,0,0.5992366112738824,0.6310155558970528,0.000506329113924,7.61,True
m1_klg,20250721,1,0.586156623854076,0.6219433818020367,0.001,7.66,True
m1_klg,20250721,2,0.5652030202939665,0.6205848766824253,0.0009982922465033,7.6,True
m1_klg,20250721,3,0.5532569989287633,0.6248453027903,0.0009931806517013,7.55,False
m1_klg,20250721,4,0.5467358066903962,0.6284485148834058,0.0009847001329696,7.56,False
m1_klg,20250721,5,0.5407284527802295,0.6357443815161226,0.0009729086208503,7.61,False
m1_klg,20250721,6,0.5349282814656572,0.6416489401550729,0.0009578866633275,7.73,False
m1_klg,20250721,7,0.531775324176654,0.6428637475672337,0.0009397368756032,7.71,False
m1_klg,20250721,8,0.5274225694833515,0.6470179015341351,0.0009185832391312,7.57,False
m1_klg,20250721,9,0.5241107066408742,0.650919127875139,0.0008945702546981,7.53,False
m1_klg,20250721,10,0.5210739078762247,0.6557692600063552,0.0008678619553365,7.68,False
m1_klg,20250722,0,0.5997340090280537,0.631472016289823,0.000506329113924,7.59,True
m1_klg,20250722,1,0.5871041029142895,0.6225845170243521,0.001,7.71,True
m1_klg,20250722,2,0.5680861951734086,0.6174304979962864,0.0009982922465033,7.65,True
m1_klg,20250722,3,0.5544014024772674,0.6211797603543199,0.0009931806517013,7.61,False
m1_klg,20250722,4,0.5474200536958498,0.6283597339506286,0.0009847001329696,7.54,False
m1_klg,20250722,5,0.5410898827952896,0.6349948609320611,0.0009729086208503,7.65,False
m1_klg,20250722,6,0.5372014633649058,0.6388613245568882,0.0009578866633275,7.59,False
m1_klg,20250722,7,0.5323969480321348,0.6418142609481929,0.0009397368756032,7.61,False
m1_klg,20250722,8,0.5293479477815193,0.6453488996280392,0.0009185832391312,7.59,False
m1_klg,20250722,9,0.5252194860346132,0.6480177556604476,0.0008945702546981,7.62,False
m1_klg,20250722,10,0.5219292742333668,0.65415894854385,0.0008678619553365,7.65,False
m1_klg,20250723,0,0.5998975593056843,0.631677491823448,0.000506329113924,7.62,True
m1_klg,20250723,1,0.5876792444048928,0.6222359602221376,0.001,7.59,True
m1_klg,20250723,2,0.5674698680663128,0.6214451438394927,0.0009982922465033,7.6,True
m1_klg,20250723,3,0.5555265777773434,0.6247091012139462,0.0009931806517013,7.6,False
m1_klg,20250723,4,0.5475265823716254,0.6254397032221983,0.0009847001329696,7.56,False
m1_klg,20250723,5,0.540756217759547,0.6286371593242011,0.0009729086208503,7.53,False
m1_klg,20250723,6,0.5362902456421772,0.636740462629401,0.0009578866633275,7.62,False
m1_klg,20250723,7,0.5302535062126392,0.6383062017496572,0.0009397368756032,7.56,False
m1_klg,20250723,8,0.5266822605155963,0.6419288508373566,0.0009185832391312,7.54,False
m1_klg,20250723,9,0.5257709411929568,0.6497658757220132,0.0008945702546981,7.69,False
m1_klg,20250723,10,0.5196970463085404,0.651905954358371,0.0008678619553365,7.6,False
m1_klg,20250724,0,0.5991707061938614,0.6295931350636097,0.000506329113924,7.7,True
m1_klg,20250724,1,0.5860044046627988,0.620877146683365,0.001,7.66,True
m1_klg,20250724,2,0.5664882713360629,0.6186212343236889,0.0009982922465033,7.57,True
m1_klg,20250724,3,0.5546329144099124,0.6231897370369827,0.0009931806517013,7.63,False
m1_klg,20250724,4,0.5451418133713514,0.6286117330089239,0.0009847001329696,7.62,False
m1_klg,20250724,5,0.5376210008457816,0.6324333597728391,0.0009729086208503,7.64,False
m1_klg,20250724,6,0.5350780596343683,0.6370312595287078,0.0009578866633275,7.63,False
m1_klg,20250724,7,0.5300786604491876,0.6426116677931797,0.0009397368756032,7.6,False
m1_klg,20250724,8,0.5263858155978977,0.645977413887083,0.0009185832391312,7.56,False
m1_klg,20250724,9,0.5241306253773771,0.6500781761423282,0.0008945702546981,7.59,False
m1_klg,20250724,10,0.5214488208532524,0.652765671121394,0.0008678619553365,7.58,False
m4_fusion,20250720,0,0.6040465506515061,0.6334308890935221,0.0005060975609756,8.92,True
m4_fusion,20250720,1,0.6022752652508215,0.6271304702291892,0.001,8.32,True
m4_fusion,20250720,2,0.5975179105824818,0.6170186373372503,0.0009982922465033,8.31,True
m4_fusion,20250720,3,0.5873916473921553,0.622986857302135,0.0009931806517013,15.41,False
m4_fusion,20250720,4,0.5720414128592364,0.5969443011803748,0.0009847001329696,13.89,True
m4_fusion,20250720,5,0.551289004948787,0.6100169208547852,0.0009729086208503,13.53,False
