cohort,n_patients,n_observed_through_90,pct_observed_through_90,followup_days_median,followup_days_q1,followup_days_q3,n_complete_5y,pct_complete_5y,note
index_final,6381,5505,86.27,633.0,137.0,1477.0,1190,18.65,scaffold no-event follow-up over all rows in the cohort; final-cohort median follow-up + reverse-KM computed downstream on the assembled cohort
strict_coded_subset,3752,3006,80.12,315.0,29.0,764.2,13,0.35,scaffold no-event follow-up over all rows in the cohort; final-cohort median follow-up + reverse-KM computed downstream on the assembled cohort
