label,definition,n_strict_candidates,n_excluded_strict,pct_of_strict,lifetime_distinct_patient_ceiling
PRELIMINARY,high_specificity_knee_osteomyelitis,4222,6,0.142,1389
PRELIMINARY,sensitivity_osteo_or_jointinf,4222,10,0.237,1792
