model,description,scope,metric,horizon_years,horizon_days,n,n_events,estimate,ci_lo,ci_hi,n_parameters,identified_parameters,penalizer,p_two_sided
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,calibration_in_the_large_risk_diff,1.999,730.0,359,52,0.01524874262750378,-0.020645911083079827,0.059447963625628764,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,ipcw_cd_auroc,4.997,1825.0,359,52,0.688493786505726,0.5976357499696412,0.7782818014625786,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,calibration_slope,4.997,1825.0,359,52,1.4320471475732597,0.8120149528760232,2.2462781300796038,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,mean_predicted_risk,4.997,1825.0,359,52,0.20806436037553902,0.20057563407466286,0.2169694598170143,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,km_observed_risk,4.997,1825.0,359,52,0.19956150282017637,0.14682876958209987,0.25549083171167497,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,calibration_in_the_large_risk_diff,4.997,1825.0,359,52,-0.008502857555362647,-0.06219649860791213,0.04845691592165742,13.0,12.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,harrell_cindex,,,359,52,0.6642900030021015,0.5869741097214034,0.7301835757130883,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,ipcw_cd_auroc,0.999,365.0,359,52,0.7051042727120433,0.609484755825416,0.7938559294970349,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,calibration_slope,0.999,365.0,359,52,1.0390962961854249,0.5530034760539235,1.6532051116982114,14.0,13.0,0.001,
M1_klg,M1 = M0 + inferred contralateral KLG (protocol Table 7),klg_eligible_val,mean_predicted_risk,0.999,365.0,359,52,0.0981395329498593,0.0914027444312891,0.10583078923504136,14.0,13.0,0.001,
